"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the ""Similar Used Tractors"" section CTA on a Used Tractor product detail page opens the used tractor lead form and a valid submission succeeds.

Expected: Lead form should open and submit successfully.","8740","TJWA_TC_LUT_015","","2026-09-09","passed","2026-09-09","","Lead:Used Tractors Suite","",""
"Verify each brand logo source returns HTTP 200 and does not overlap with its brand name text.","3963","TJWA_TC_TBB_UI_004 - Brand logos are not broken and do not overlap text","Home Page — Tractors By Brands","2026-09-09","passed","2026-09-09","","Brand integrity","",""
"Verify the used tractor listing page loads successfully (HTTP 200).

Expected: The page should load successfully with HTTP 200.","3158","TJWA_TC_UTLIST_001 - Page loads successfully (HTTP 200) — Assured Used Tractor Listing","Used Tractor Listing Pages (Revamp)","2026-09-10","passed","2026-09-10","","Assured Used Tractor Listing (/assured-used-tractors-for-sell/)","",""
"Verify applying the Price filter (0-2 Lakh) restricts all listed tractors to that price range.

Expected: Every listed tractor price should be at most ₹2,00,000.","12046","TJWA_TC_UTLIST_005 - Price Filter (0-2 Lakh) — Used Tractor + Brand + State + City Listing","Used Tractor Listing Pages (Revamp)","2026-09-10","passed","2026-09-10","","Used Tractor + Brand + State + City Listing (/used-tractors/mahindra/rajasthan/hanumangarh/)","",""
"Verify ""Talk to Dealer"" on a Tractor Service Centers (Pune) page opens the dealer lead form and a valid submission succeeds.

Expected: Lead form should open and submit successfully.","7574","TJWA_TC_DL_003","","2026-09-09","passed","2026-09-09","","Lead Dealers Form Submission","",""
"Verify ""Get Best Offer"" on a listing page card opens the used tractor lead form and a valid submission succeeds.

Expected: Lead form should open and submit successfully.","11656","TJWA_TC_UTLIST_003 - Lead form — Used Tractor Listing [te] @utSmoke @lang-te","Used Tractor Listing — Smoke (@utSmoke, all languages)","2026-09-10","passed","2026-09-10","","Used Tractor Listing — [te] (/te/used-tractors-for-sell/)","",""
"","10770","15. Validate Kolhapur Tehsil Names in Telugu (All Brands Page)","","2026-09-09","passed","2026-09-09","","3.Multilingual Pages - Tehsil Validation","",""
"Verify the footer's partner-site links render with the same correct titles and hrefs when the footer is reached from a page other than the homepage (the Blog page).

Expected: Partner site links identical in count, titles and hrefs regardless of originating page.","3599","TJWA_TC_FSB_010 - Partner site links render consistently from a non-homepage page (Blog)","Home Page — Footer Social Media & Bottom Bar","2026-09-09","passed","2026-09-09","","Partner websites","",""
"[Negative] Verify submitting the tyre lead form with an invalid (too-short) mobile number does not succeed.

Expected: The lead form should remain open and should not reach the thank-you/success state when the mobile number is invalid.","7021","TJWA_TC_TL_NEG_001 - [Negative] Invalid mobile number blocks submission","Lead Tyre Form Submission","2026-09-09","passed","2026-09-09","","Negative & boundary — mobile number field","",""
"Verify applying the Year filter (2024) restricts all listed tractors to that model year.

Expected: Every listed tractor year should contain ""2024"".","7887","TJWA_TC_UTLIST_007 - Year Filter (2024) — Used Tractor + Price Listing","Used Tractor Listing Pages (Revamp)","2026-09-09","passed","2026-09-09","","Used Tractor + Price Listing (/used-tractors/above-5-lakh/)","",""
"Verify that the Used Harvester product detail page (John Deere Green Gold) (used-harvester/john-deere/green-gold/5972/) loads successfully and every in-page link (outside the shared header/footer nav) resolves without a 404 or 500 error, with correct trailing slashes on internal links.

Expected: The Used Harvester product detail page (John Deere Green Gold) should load successfully (HTTP 200) and every in-page link in scope should resolve to a valid destination — no broken (404) or server-error (500) links, and internal links should end with a trailing slash.","35035","7.6.Verify Page redirections for Used Harvesters Product Detail Pages","","2026-09-09","passed","2026-09-09","","7.Product Detail Page Redirections","",""
"Verify applying the Price filter (0-2 Lakh) restricts all listed tractors to that price range.

Expected: Every listed tractor price should be at most ₹2,00,000.","11643","TJWA_TC_UTLIST_005 - Price Filter (0-2 Lakh) — Used Tractor + Brand Listing","Used Tractor Listing Pages (Revamp)","2026-09-09","passed","2026-09-09","","Used Tractor + Brand Listing (/used-tractors/john-deere/)","",""
"Verify a further CTA on the New Harvesters listing page opens the new harvester lead form and a valid submission succeeds.

Expected: Lead form should open and submit successfully.","7854","TJWA_TC_LNH_002","","2026-09-09","passed","2026-09-09","","Lead:New Harvesters Suite","",""
"Verify a combined filter (2-3 Lakh price, Mahindra brand, 2011 year, sorted low to high) restricts and orders the listing correctly.

Expected: Every listed tractor should be priced 2-3 Lakh, be a Mahindra, be model year 2011, and be sorted low to high.","28902","TJWA_TC_UTLIST_009 - Combined Filters [2-3 Lakh | Mahindra | 2011 | Sorted] — Used Tractor + City Listing","Used Tractor Listing Pages (Revamp)","2026-09-09","passed","2026-09-09","","Used Tractor + City Listing (/used-tractor-in-alwar/)","",""
"Verify ""Talk to Dealer"" on a New Tractor product detail page opens the dealer lead form and a valid submission succeeds.

Expected: Lead form should open and submit successfully.","12360","TJWA_TC_DL_001","","2026-09-09","passed","2026-09-09","","Lead Dealers Form Submission","",""
"","","TJWA_TC_LBV_001 - Latest Videos section visible with video cards","Home Page — Latest Videos","","failed","","","Section UI","",""
"Verify ""Get Best Offer"" on a listing page card opens the used tractor lead form and a valid submission succeeds.

Expected: Lead form should open and submit successfully.","9789","TJWA_TC_UTLIST_003 - Lead form — Used Farm Implements Listing [hi] @utSmoke @lang-hi","Used Tractor Listing — Smoke (@utSmoke, all languages)","2026-09-10","passed","2026-09-10","","Used Farm Implements Listing — [hi] (/hi/used-farm-implements-for-sell/)","",""
"Verify the ""Popular Farm Equipments — Implements"" CTA on the All Brands page opens the new implement lead form and a valid submission succeeds.

Expected: Lead form should open and submit successfully.","9464","TJWA_TC_LNI_011","","2026-09-09","passed","2026-09-09","","Lead:New Implements Suite","",""
"Verify the actual logo images (data-src) are loadable.

Expected: All 6 data-src URLs return 200, 301, or 302.","2718","TJWA_TC_FJP_003 - All brand logo data-src images return 200/301","Home Page — Farmjunction Platform","2026-09-09","passed","2026-09-09","","Image validation","",""
"Verify applying the Price filter (0-2 Lakh) restricts all listed tractors to that price range.

Expected: Every listed tractor price should be at most ₹2,00,000.","11192","TJWA_TC_UTLIST_005 - Price Filter (0-2 Lakh) — Used Tractor + City Listing","Used Tractor Listing Pages (Revamp)","2026-09-09","passed","2026-09-09","","Used Tractor + City Listing (/used-tractor-in-alwar/)","",""
"Verify the hero-section primary CTA on a New Tractor product detail page opens the new tractor lead form and a valid submission succeeds.

Expected: Lead form should open and submit successfully.","12416","TJWA_TC_LNT_007","","2026-09-09","passed","2026-09-09","","Lead:New Tractors Suite","",""
"","23434","4.Verify link redirections on: hi/find-tractor-dealers/mahindra/nagaland/","","2026-09-10","passed","2026-09-10","","4.LM Page Redirections","",""
"","10053","21. Validate Durg Tehsil Names in English (Used Tractors Page)","","2026-09-09","passed","2026-09-09","","3.Multilingual Pages - Tehsil Validation","",""
